"filename", "language", "YAML", "XML", "C++", "Markdown", "JSON", "Dart", "Gradle", "Java Properties", "Ruby", "HTML", "Swift", "comment", "blank", "total"
"/Users/puruwo/dev/flutter/kakeibo_v3/README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/puruwo/dev/flutter/kakeibo_v3/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 12, 68
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/debug/AndroidManifest.xml", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/AndroidManifest.xml", "XML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 34
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/values-night/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/main/res/values/styles.xml", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/puruwo/dev/flutter/kakeibo_v3/android/app/src/profile/AndroidManifest.xml", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/puruwo/dev/flutter/kakeibo_v3/android/build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"/Users/puruwo/dev/flutter/kakeibo_v3/android/gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/puruwo/dev/flutter/kakeibo_v3/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/puruwo/dev/flutter/kakeibo_v3/android/settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
